,stasiun,pm10,so2,co,o3,no2,categori
125,DKI5 (Kebon Jeruk),54.0,3.0,26.0,100.0,17.0,SEDANG
126,DKI5 (Kebon Jeruk),67.0,4.0,40.0,88.0,20.0,SEDANG
127,DKI5 (Kebon Jeruk),66.0,2.0,24.0,68.0,12.0,SEDANG
128,DKI5 (Kebon Jeruk),60.0,4.0,23.0,72.0,9.0,SEDANG
129,DKI5 (Kebon Jeruk),56.0,2.0,37.0,39.0,15.0,SEDANG
130,DKI5 (Kebon Jeruk),47.0,2.0,10.0,68.0,6.0,SEDANG
131,DKI5 (Kebon Jeruk),38.0,3.0,11.0,55.0,7.0,SEDANG
132,DKI5 (Kebon Jeruk),49.0,3.0,26.0,167.0,12.0,TIDAK SEHAT
133,DKI5 (Kebon Jeruk),55.0,4.0,20.0,167.0,10.0,TIDAK SEHAT
134,DKI5 (Kebon Jeruk),63.0,4.0,16.0,62.0,9.0,SEDANG
135,DKI5 (Kebon Jeruk),56.0,7.0,19.0,68.0,10.0,SEDANG
136,DKI5 (Kebon Jeruk),55.0,3.0,26.0,27.0,14.0,SEDANG
137,DKI5 (Kebon Jeruk),30.0,3.0,8.0,25.0,5.0,BAIK
138,DKI5 (Kebon Jeruk),29.0,2.0,5.0,28.0,2.0,BAIK
139,DKI5 (Kebon Jeruk),42.0,2.0,11.0,29.0,4.0,BAIK
140,DKI5 (Kebon Jeruk),44.0,3.0,11.0,50.0,13.0,BAIK
141,DKI5 (Kebon Jeruk),69.0,3.0,11.0,104.0,12.0,TIDAK SEHAT
142,DKI5 (Kebon Jeruk),45.0,2.0,12.0,105.0,10.0,TIDAK SEHAT
143,DKI5 (Kebon Jeruk),52.0,4.0,41.0,133.0,13.0,TIDAK SEHAT
144,DKI5 (Kebon Jeruk),67.0,5.0,34.0,128.0,16.0,TIDAK SEHAT
145,DKI5 (Kebon Jeruk),69.0,5.0,37.0,69.0,13.0,SEDANG
146,DKI5 (Kebon Jeruk),50.0,3.0,23.0,39.0,11.0,BAIK
147,DKI5 (Kebon Jeruk),65.0,5.0,50.0,72.0,14.0,SEDANG
148,DKI5 (Kebon Jeruk),71.0,6.0,33.0,65.0,16.0,SEDANG
149,DKI5 (Kebon Jeruk),79.0,3.0,43.0,140.0,13.0,TIDAK SEHAT
150,DKI5 (Kebon Jeruk),76.0,4.0,58.0,86.0,24.0,SEDANG
151,DKI5 (Kebon Jeruk),62.0,4.0,23.0,58.0,11.0,SEDANG
152,DKI5 (Kebon Jeruk),62.0,3.0,26.0,48.0,13.0,SEDANG
153,DKI5 (Kebon Jeruk),57.0,5.0,18.0,57.0,14.0,SEDANG
154,DKI5 (Kebon Jeruk),59.0,5.0,15.0,63.0,13.0,SEDANG
155,DKI5 (Kebon Jeruk),53.0,5.0,18.0,64.0,9.0,SEDANG
156,DKI5 (Kebon Jeruk),53.0,4.0,21.0,83.0,12.0,SEDANG
157,DKI5 (Kebon Jeruk),64.0,6.0,19.0,60.0,13.0,SEDANG
158,DKI5 (Kebon Jeruk),69.0,6.0,19.0,65.0,12.0,SEDANG
159,DKI5 (Kebon Jeruk),67.0,5.0,19.0,53.0,13.0,SEDANG
160,DKI5 (Kebon Jeruk),83.0,5.0,36.0,91.0,11.0,SEDANG
161,DKI5 (Kebon Jeruk),81.0,4.0,27.0,69.0,14.0,SEDANG
162,DKI5 (Kebon Jeruk),58.0,3.0,20.0,53.0,10.0,SEDANG
163,DKI5 (Kebon Jeruk),67.0,4.0,21.0,69.0,17.0,SEDANG
164,DKI5 (Kebon Jeruk),67.0,4.0,15.0,117.0,13.0,TIDAK SEHAT
165,DKI5 (Kebon Jeruk),53.0,5.0,26.0,96.0,13.0,SEDANG
166,DKI5 (Kebon Jeruk),53.0,3.0,20.0,60.0,16.0,SEDANG
167,DKI5 (Kebon Jeruk),53.0,4.0,37.0,43.0,15.0,BAIK
168,DKI5 (Kebon Jeruk),53.0,6.0,54.0,93.0,14.0,SEDANG
169,DKI5 (Kebon Jeruk),76.0,4.0,34.0,45.0,18.0,SEDANG
170,DKI5 (Kebon Jeruk),59.0,4.0,19.0,48.0,19.0,SEDANG
171,DKI5 (Kebon Jeruk),61.0,7.0,20.0,74.0,14.0,SEDANG
172,DKI5 (Kebon Jeruk),66.0,5.0,36.0,65.0,8.0,SEDANG
173,DKI5 (Kebon Jeruk),71.0,6.0,31.0,99.0,15.0,SEDANG
174,DKI5 (Kebon Jeruk),49.0,4.0,20.0,154.0,13.0,TIDAK SEHAT
175,DKI5 (Kebon Jeruk),76.0,7.0,31.0,127.0,16.0,TIDAK SEHAT
176,DKI5 (Kebon Jeruk),88.0,4.0,62.0,55.0,14.0,SEDANG
177,DKI5 (Kebon Jeruk),60.0,5.0,35.0,149.0,13.0,TIDAK SEHAT
178,DKI5 (Kebon Jeruk),61.0,6.0,21.0,119.0,13.0,TIDAK SEHAT
179,DKI5 (Kebon Jeruk),69.0,5.0,22.0,76.0,15.0,SEDANG
180,DKI5 (Kebon Jeruk),62.0,5.0,21.0,103.0,10.0,TIDAK SEHAT
181,DKI5 (Kebon Jeruk),61.0,6.0,16.0,82.0,11.0,SEDANG
182,DKI5 (Kebon Jeruk),62.0,8.0,33.0,66.0,9.0,SEDANG
183,DKI5 (Kebon Jeruk),70.0,6.0,67.0,58.0,13.0,SEDANG
184,DKI5 (Kebon Jeruk),47.0,6.0,16.0,75.0,18.0,SEDANG
185,DKI5 (Kebon Jeruk),39.0,5.0,10.0,43.0,7.0,BAIK
186,DKI5 (Kebon Jeruk),41.0,4.0,7.0,46.0,4.0,BAIK
187,DKI5 (Kebon Jeruk),52.0,7.0,16.0,48.0,8.0,SEDANG
188,DKI5 (Kebon Jeruk),53.0,6.0,12.0,34.0,9.0,SEDANG
189,DKI5 (Kebon Jeruk),34.0,5.0,11.0,37.0,7.0,BAIK
190,DKI5 (Kebon Jeruk),54.0,5.0,15.0,50.0,9.0,SEDANG
191,DKI5 (Kebon Jeruk),56.0,7.0,29.0,71.0,11.0,SEDANG
192,DKI5 (Kebon Jeruk),53.0,8.0,13.0,69.0,10.0,SEDANG
193,DKI5 (Kebon Jeruk),85.0,4.0,40.0,151.0,13.0,TIDAK SEHAT
194,DKI5 (Kebon Jeruk),84.0,5.0,38.0,93.0,14.0,SEDANG
195,DKI5 (Kebon Jeruk),69.0,4.0,33.0,36.0,11.0,SEDANG
196,DKI5 (Kebon Jeruk),59.0,8.0,18.0,46.0,7.0,SEDANG
197,DKI5 (Kebon Jeruk),68.0,6.0,26.0,59.0,14.0,SEDANG
198,DKI5 (Kebon Jeruk),97.0,6.0,44.0,61.0,15.0,SEDANG
199,DKI5 (Kebon Jeruk),53.0,9.0,40.0,65.0,8.0,BAIK
200,DKI5 (Kebon Jeruk),83.0,7.0,21.0,81.0,13.0,SEDANG
201,DKI5 (Kebon Jeruk),85.0,7.0,20.0,86.0,12.0,SEDANG
202,DKI5 (Kebon Jeruk),74.0,4.0,53.0,45.0,16.0,SEDANG
203,DKI5 (Kebon Jeruk),54.0,5.0,12.0,68.0,12.0,SEDANG
204,DKI5 (Kebon Jeruk),87.0,7.0,50.0,63.0,13.0,SEDANG
205,DKI5 (Kebon Jeruk),73.0,5.0,32.0,47.0,13.0,SEDANG
206,DKI5 (Kebon Jeruk),55.0,4.0,15.0,40.0,14.0,SEDANG
207,DKI5 (Kebon Jeruk),65.0,5.0,22.0,79.0,10.0,SEDANG
208,DKI5 (Kebon Jeruk),52.0,4.0,19.0,63.0,16.0,SEDANG
