,place,pm10,so2,co,o3,no2,AQI_category
387,Place_1,65.0,2.0,29.0,51.0,13.0,SEDANG
388,Place_1,55.0,1.0,26.0,52.0,11.0,SEDANG
389,Place_1,55.0,1.0,25.0,49.0,12.0,BAIK
390,Place_1,55.0,2.0,24.0,42.0,10.0,BAIK
391,Place_1,55.0,1.0,23.0,46.0,10.0,BAIK
392,Place_1,55.0,1.0,23.0,48.0,12.0,BAIK
393,Place_1,55.0,4.0,15.0,39.0,12.0,BAIK
394,Place_1,55.0,4.0,30.0,34.0,15.0,BAIK
395,Place_1,55.0,3.0,32.0,46.0,16.0,BAIK
396,Place_1,55.0,2.0,37.0,53.0,16.0,SEDANG
397,Place_1,51.0,2.0,40.0,48.0,17.0,SEDANG
398,Place_1,56.0,4.0,35.0,47.0,13.0,SEDANG
399,Place_1,47.0,5.0,30.0,46.0,15.0,BAIK
400,Place_1,55.0,2.0,56.0,54.0,20.0,SEDANG
401,Place_1,46.0,3.0,36.0,47.0,20.0,BAIK
402,Place_1,57.0,5.0,32.0,53.0,15.0,SEDANG
403,Place_1,58.0,2.0,28.0,57.0,11.0,SEDANG
404,Place_1,67.0,5.0,31.0,49.0,15.0,SEDANG
405,Place_1,58.0,5.0,28.0,45.0,18.0,SEDANG
406,Place_1,59.0,5.0,29.0,43.0,13.0,SEDANG
407,Place_1,73.0,13.0,47.0,42.0,14.0,SEDANG
408,Place_1,87.0,7.0,42.0,54.0,25.0,SEDANG
409,Place_1,55.0,4.0,38.0,41.0,16.0,BAIK
410,Place_1,75.0,7.0,37.0,48.0,16.0,SEDANG
411,Place_1,77.0,7.0,35.0,59.0,21.0,SEDANG
412,Place_1,46.0,8.0,29.0,55.0,13.0,SEDANG
413,Place_1,46.0,6.0,32.0,43.0,12.0,BAIK
414,Place_1,34.0,4.0,34.0,41.0,13.0,BAIK
415,Place_1,44.0,4.0,38.0,41.0,17.0,BAIK
416,Place_1,54.0,5.0,43.0,53.0,25.0,SEDANG
417,Place_1,52.0,5.0,43.0,39.0,17.0,SEDANG
418,Place_1,63.0,4.0,57.0,53.0,28.0,SEDANG
419,Place_1,94.0,7.0,90.0,49.0,34.0,SEDANG
